receiver_pseudo,sender_pseudo,msgs,attacks,fused_hits,fp,fn
106455,107055,11,0,0,0,0
106515,101173,11,0,0,0,0
106515,102315,17,0,0,0,0
106515,103275,1,0,0,0,0
106515,103875,16,0,0,0,0
106515,104115,8,0,0,0,0
106515,104895,38,0,0,0,0
106515,105075,41,0,0,0,0
106515,105315,33,0,0,0,0
106515,105795,20,0,0,0,0
106515,106095,1,0,0,0,0
106515,106275,15,0,0,0,0
106515,106815,4,0,0,0,0
106575,10752,13,0,0,0,0
106575,101413,13,0,0,0,0
106575,102135,10,0,0,0,0
106575,102195,3,0,0,0,0
106575,102975,20,0,0,0,0
106575,103035,10,0,0,0,0
106575,103155,13,0,0,0,0
106575,103515,4,0,0,0,0
106575,103935,2,0,0,0,0
106575,103995,13,0,0,0,0
106575,104175,27,0,0,0,0
106575,104475,18,0,0,0,0
106575,104715,1,0,0,0,0
106575,104775,12,0,0,0,0
106575,105015,57,0,0,0,0
106575,105135,10,0,0,0,0
106575,106875,17,0,0,0,0
106635,101774,9,0,0,0,0
106635,101954,11,0,0,0,0
106635,102975,5,0,0,0,0
106635,103515,6,0,0,0,0
106635,103815,3,0,0,0,0
106635,104475,10,0,0,0,0
106635,104655,12,0,0,0,0
106635,105075,14,0,0,0,0
106635,105135,11,0,0,0,0
106635,105315,13,0,0,0,0
106635,105795,13,0,0,0,0
106635,106275,11,0,0,0,0
106695,101293,6,0,0,0,0
106695,101894,15,0,0,0,0
106695,102014,9,0,0,0,0
106695,102675,17,0,0,0,0
106695,103035,37,0,0,0,0
106815,101293,8,0,0,0,0
106815,102435,14,0,0,0,0
106815,102675,7,0,0,0,0
106815,103155,14,0,0,0,0
